"titleID","titleName","titleSort","authorFirstName","authorLastName","publicationDate","imageName","categoryID","shortDescription","urlPKDweb","active","createdAt","updatedAt"
39,"Ubik: The Screenplay","ubik: the screenplay","Philip K.","Dick","1985-01-01 00:00:00-05","https://philipdick.com/images/covers/UbikTheScreenplay.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
40,"VALIS","valis","Philip K.","Dick","1981-01-01 00:00:00-05","https://philipdick.com/images/covers/VALIS.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
41,"Voices From the Street","voices from the street","Philip K.","Dick","2007-01-01 00:00:00-05","https://philipdick.com/images/covers/VoicesFromTheStreet.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
42,"Vulcan's Hammer","vulcan's hammer","Philip K.","Dick","1960-01-01 00:00:00-05","https://philipdick.com/images/covers/VulcansHammer.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
43,"We Can Build You","we can build you","Philip K.","Dick","1972-01-01 00:00:00-05","https://philipdick.com/images/covers/WeCanBuildYou.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
44,"The World Jones Made","world jones made, the","Philip K.","Dick","1956-01-01 00:00:00-05","https://philipdick.com/images/covers/TheWorldJonesMade.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
45,"The Zap Gun","zap gun, the","Philip K.","Dick","1967-01-01 00:00:00-05","https://philipdick.com/images/covers/TheZapGun.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
46,"The VALIS Trilogy","valis trilogy, the","Philip K.","Dick","1982-01-01 00:00:00-05","https://philipdick.com/images/covers/TheVALISTrilogy.jpg",1,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
47,"Total Recall","total recall","Philip K.","Dick",NULL,"https://philipdick.com/images/covers/TotalRecall.jpg",12,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-19 14:26:39.867-04"
48,"Minority Report and Other Stories","minority report and other stories","Philip K.","Dick","2004-01-06 19:00:00-05",NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-19 17:16:49.341-04"
49,"The Unreconstructed M and Other Stories","unreconstructed m and other stories, the","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
50,"Volume I: The King of the Elves (The Collected Stories of Philip K. Dick)","volume i: the king of the elves (the collected stories of philip k. dick)","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
51,"Volume II: Adjustment Team (The Collected Stories of Philip K. Dick)","volume ii: adjustment team (the collected stories of philip k. dick)","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
52,"Volume III: Upon the Dull Earth (The Collected Stories of Philip K. Dick)","volume iii: upon the dull earth (the collected stories of philip k. dick)","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
53,"Volume IV: The Minority Report (The Collected Stories of Philip K. Dick)","volume iv: the minority report (the collected stories of philip k. dick)","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
54,"Volume V: We Can Remember It for You Wholesale (The Collected Stories of Philip K. Dick)","volume v: we can remember it for you wholesale (the collected stories of philip k. dick)","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
55,"Philip K. Dick's Electric Dreams","philip k. dick's electric dreams","Philip K.","Dick","2017-11-14 00:00:00-05",NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
56,"The Early Work of Philip K. Dick, Volume 1: The Variable Man and Other Stories","early work of philip k. dick, volume 1: the variable man and other stories, the","Philip K.","Dick","2009-08-10 20:00:00-04",NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-19 17:04:30.678-04"
57,"The Early Work of Philip K. Dick, Volume 2: Breakfast at Twilight and Other Stories","early work of philip k. dick, volume 2: breakfast at twilight and other stories, the","Philip K.","Dick","2010-01-04 19:00:00-05",NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-19 17:04:59.956-04"
58,"The Philip K. Dick Reader","philip k. dick reader, the","Philip K.","Dick","2001-03-31 19:00:00-05",NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-19 16:31:41.732-04"
59,"Selected Stories of Philip K. Dick","selected stories of philip k. dick","Philip K.","Dick","2013-04-15 20:00:00-04",NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-19 16:26:03.831-04"
60,"Vintage PKD","vintage pkd","Philip K.","Dick","2006-06-12 20:00:00-04",NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-19 16:33:08.792-04"
61,"The Best of Philip K. Dick","best of philip k. dick, the","Philip K.","Dick","2013-02-11 19:00:00-05",NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-19 13:11:20.809-04"
62,"The Collected Short Stories of Philip K. Dick, Vol. 1","collected short stories of philip k. dick, vol. 1, the","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
63,"The Collected Short Stories of Philip K. Dick, Vol. 2","collected short stories of philip k. dick, vol. 2, the","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
64,"The Collected Short Stories of Philip K. Dick, Vol. 3","collected short stories of philip k. dick, vol. 3, the","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
65,"The Collected Short Stories of Philip K. Dick, Vol. 4","collected short stories of philip k. dick, vol. 4, the","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
66,"The Collected Short Stories of Philip K. Dick, Vol. 5","collected short stories of philip k. dick, vol. 5, the","Philip K.","Dick",NULL,NULL,2,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
67,"X Minus One: Colony","x minus one: colony","Philip K.","Dick","1956-10-10 00:00:00-05",NULL,9,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
68,"X Minus One: The Defenders","x minus one: the defenders","Philip K.","Dick","1956-05-22 00:00:00-05",NULL,9,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
69,"The Exegesis of Philip K. Dick","exegesis of philip k. dick, the","Philip K.","Dick","2011-11-08 00:00:00-05",NULL,3,"","",True,"2020-10-18 23:10:31.269921-04","2020-10-18 23:10:31.269921-04"
70,"PKD-13: Thirteen Short Stories","pkd-13: thirteen short stories","Philip K.","Dick","2015-03-21 20:00:00-04",NULL,2,NULL,NULL,True,"2020-10-18 23:27:17.079-04","2020-10-18 23:27:17.079-04"
